id,latitude,longitude,population
De Meene,52.01666667,6.383333333,26006
Oostappen,51.43333333,0.083333333,26170
Harssens,53.25,0.533333333,26320
Koedood,51.84444444,4.483333333,26441
Eng,51.78333333,0.083333333,26507
Laudermarke,52.88333333,0.1,26754
Magrette,51.28333333,3.9,27748
Ottersum,51.7,5.983333333,27758
De Kampen,52.75,4.866666667,28023
Hooghalen,52.92083333,6.538888889,28206
Lith,51.8,0.083333333,28240
It Heidenskip,52.95,5.5,28508
Kantens,53.35,0.633333333,28874
Aan de Popelaar,51.05,5.95,29117
Boskant,51.78333333,5.766666667,29321
Vosberg,51.33333333,5.983333333,30184
Stompwijk,52.09444444,4.466666667,30408
Jukwerd,53.33333333,0.833333333,30504
Neerdorp,52.29444444,6.383333333,30606
De Schutterij,51.98333333,6.533333333,30764
Heveskes,53.3,0.95,31041
Briltil,53.23333333,0.383333333,31068
Kievitshaar,52.61666667,6.316666667,31135
Alinghuizen,53.3,0.5,31842
Endepoel,51.53333333,5.95,31963
Sinderen,51.9,6.466666667,31986
Terblijt,50.85,5.783333333,32090
Hoekdries,51.38333333,0.083333333,32216
Zuidveld,52.86666667,6.636111111,32283
Helenaveen,51.38333333,0.083333333,32284
Molenhoek,51.76666667,5.766666667,32624
Amby,50.86666667,5.733333333,32947
Nieuw- en Sint Joosland,51.48333333,3.65,32979
De Pas,51.96666667,5.866666667,33102
Vennenberg,52.47777778,6.316666667,33388
Rhaan,52.42916667,6.45,33492
Berkhoek,51.58333333,0.083333333,33613
Brandemolen,51.48333333,6.183333333,33821
Ooij,51.91666667,6.066666667,34211
Noordkant,51.63333333,0.083333333,34673
Spui,51.3,3.883333333,34888
Veldhuizen,52.06527778,5,35228
Lage Berkt,51.31666667,0.083333333,35332
Hoornerveen,52.4,6.033333333,35372
Fleringen,52.38194444,6.8,35517
Woudenberg,52.08055556,5.416666667,35733
Den Eng,51.95,5.5,35769
Kootwijkerbroek,52.15,5.666666667,36085
Lemperhoek,52.15,6.516666667,36331
Deuteren,51.68333333,0.083333333,36436
Uitwellingerga,53,5.7,36444
Appingedam,53.31666667,0.85,36769
Ootmarsum,52.40833333,6.9,37349
Oosterzee,52.86666667,5.766666667,37852
Lagebiezen,51.58333333,0.083333333,38522
Heijplaat,51.89305556,4.416666667,39038
Dijkshorne,53.35,6.133333333,39066
Tijnje,53.03333333,6,39249
Bollendorp,52.58333333,4.683333333,39473
Nijeveen,52.73333333,6.168055556,39874
Hulst,51.28333333,4.05,39935
Wintraak,50.96666667,5.883333333,40820
Peelsehuis,51.61666667,0.083333333,41458
Busselte,52.76527778,6.197222222,41520
Gellicum,51.88333333,5.15,41964
Berkhoek,51.6,0.083333333,41967
Rossum,52.35138889,6.916666667,42161
Roodehaan,53.18333333,0.633333333,43441
Grijpskerk,53.25,0.3,43460
Zalk,52.52083333,6,43530
Kerk-Avezaath,51.9,5.383333333,43733
Wouwse Hil,51.48333333,0.066666667,43775
Breede,53.38333333,0.533333333,44204
Langweer,52.96666667,5.716666667,44671
Haaksbergen,52.15694444,6.733333333,45012
Zandkant,51.63333333,0.083333333,45147
Termaar,50.81666667,5.833333333,45189
De Vorst,51.56666667,0.083333333,45511
Zevenhuizen,52.21111111,5.383333333,45571
Dintelsas,51.65,0.066666667,45637
Lomm,51.45,6.166666667,45790
Emmaberg,50.88333333,5.85,46138
Wijnbergen,52.31666667,6.016666667,46278
Sneidershoek,51.38333333,0.083333333,46288
Onna,52.775,6.133333333,46699
Tienraij,51.5,6.1,46815
De Rijlst,52.93333333,5.75,46969
Dishoek,51.46666667,3.516666667,47073
Udenhout,51.6,0.083333333,47186
Beutenaken,50.78333333,5.85,47399
Augsbuurt-Lutjewoude,53.26666667,6.166666667,47453
Dolberg,50.88333333,5.883333333,47755
Schilligeham,53.31666667,0.483333333,47755
Katershorn,53.4,0.65,47791
Sint Hubert,51.66666667,0.083333333,47990
Vrank,50.9,5.95,48053
Kloosterburen,53.38333333,0.383333333,48277
Englum,53.3,0.4,48457
Nieuwe Schans,51.83333333,5.5,48680
Zwaagdijk-Oost,52.7,5.133333333,49196
Alteveer,53.11111111,6.434722222,49380
Alphen,51.81666667,5.466666667,49425
Waalre,51.38333333,0.083333333,49536
Veldhoek,52.05,6.416666667,49785
Westernijkerk,53.33333333,5.8,49991
Siberië,52.74861111,6.522222222,50134
Schuwacht,51.89305556,4.633333333,50346
Horzik,51.65,0.083333333,50774
Gameren,51.8,5.2,51059
Zeelberg,51.33333333,0.083333333,51153
Oldemarkt,52.82083333,5.966666667,51300
Westergeest,53.3,6.083333333,51841
Lingsfort,51.48333333,6.2,52002
Vredenburg,51.95,5.9,52202
Sterrenschans,51.9,6.016666667,52620
Drieborg,53.2,0.166666667,52981
Nieuwstad,53.26666667,6.05,53282
Bruchem,51.78333333,5.233333333,53538
Kleuter,51.65,0.083333333,53547
Lathum,51.98333333,6.016666667,53592
Larense Broek,52.21666667,6.366666667,54002
Slabroek,51.68333333,0.083333333,54647
Lucaswolde,53.18333333,0.3,54677
Malland,51.56666667,4.1,54721
Hofte,53.05,0.05,54768
Lutjeloo,53.08333333,0.083333333,54777
Voerendaal,50.88333333,5.933333333,54931
Oud-Wulven,52.04305556,5.15,55403
Margraten,50.81666667,5.816666667,55512
Numansdorp,51.73194444,4.433333333,55567
Oudkerk,53.26666667,5.883333333,55624
Kwartier,51.61666667,0.066666667,55723
Geloo,51.31666667,6.133333333,56299
Janssenstichting,53.05,6.016666667,56404
Walem,50.86666667,5.866666667,56432
Mariënheem,52.38333333,6.316666667,56988
Basserveld,52.81388889,6.033333333,57011
Willemstad,51.68333333,0.066666667,57195
Rijsenhout,52.26666667,4.716666667,57200
Rhederveld,53.05,0.183333333,57361
Fraamklap,53.33333333,0.633333333,57874
Ee,53.33333333,6.1,57965
't Vlot,51.95,5.833333333,58066
Hiept,51.53333333,5.95,58333
Leusden,52.13333333,5.416666667,58410
Oosterend,53.08333333,5.616666667,58661
Nistelrode,51.7,0.083333333,59115
Plankendorp,51.56666667,3.716666667,59457
De Weijer,51.45,0.083333333,59558
Lage Wijst,51.71666667,0.083333333,59697
Helling,51.53333333,6.083333333,59831
Sloot,51.4,0.083333333,60012
Vosseneind,51.76666667,5.833333333,60425
Schafelt,51.35,6.1,60528
Pijnenburg,52.17083333,5.233333333,60699
Nagele,52.65,5.733333333,60742
Gouden Ploeg,52.5125,6.6,60976
Onder de Molen,51.56666667,4.2,60977
Wijdenes,52.63333333,5.15,61279
Aan de Berg,51.1,5.983333333,61281
Schalkwijk,52.36666667,4.666666667,61282
Berik,51.23333333,5.966666667,61300
Baarn,52.21111111,5.283333333,61405
Steenharst,53.26666667,6.166666667,61642
Oostzaan,52.45,4.866666667,61757
Diermen,52.25,5.5,61935
Durgerdam,52.38333333,5,62076
Riel,51.41666667,0.083333333,62191
Palmstad,52.03611111,5.316666667,62226
Belgeren,51.43333333,0.083333333,62236
Kadoelen,52.66944444,6,62683
Oterleek,52.63333333,4.833333333,63498
Azelo,52.3,6.7,63537
Vierhuis,52.9,5.85,63621
Oude Strumpt,51.43333333,0.066666667,63704
Thuserhof,51.18333333,6.05,63859
Schuilenburg,52.40972222,6.466666667,63859
Lichtmis,52.58333333,6.183333333,63921
Beldert,51.68333333,3.983333333,64240
Tappersheul,52.03611111,4.85,64659
Molenpolder,52.14722222,5.083333333,65029
Zandhoek,51.58333333,0.083333333,65038
Zandbulten,53.26666667,6.083333333,65692
Ter Horst,52.84305556,6.508333333,65701
De Mars,52.70555556,6.734722222,66220
Valthermussel,52.90833333,7.020833333,66379
Het Stift,52.35555556,6.833333333,66677
Vinkenberg,51.53333333,0.083333333,66719
Trophorne,52.93333333,5.566666667,66808
Hondsrug,50.85,5.983333333,67066
Leurke,51.58333333,0.083333333,67249
Grijzegrubben,50.91666667,5.866666667,67376
Viel,50.96666667,5.916666667,67565
Slaperstil,53.23333333,0.483333333,67851
Oeken,52.11666667,6.15,67871
Oosterbierum,53.23333333,5.516666667,68484
Buggenum,51.23333333,5.983333333,68608
Terband,52.98333333,5.916666667,68642
Noenes,51.6,0.083333333,68928
Bangert,52.73333333,5.183333333,69100
Separatiedijk,51.43333333,4.2,69135
Nieuw Oostendorp,51.91666667,6.433333333,69211
Oisterwijkse Hoeven,51.55,0.083333333,69818
Vriezekoop,52.22083333,4.683333333,70289
Epse,52.21666667,6.2,70346
Húns ,53.15,5.666666667,70379
Eemster,52.85277778,6.383333333,70473
Gouda,52.01667,4.70833,70939
Den Ham,53.26666667,0.416666667,70988
't Zand,52.83333333,4.75,71035
IJsbrechtum,53.05,5.633333333,71276
Veenhuizerveld,52.21666667,5.633333333,71351
Ommel,51.41666667,0.083333333,71358
Bergsche Heide,51.6,6.066666667,71665
Nieuw- en Winnerstraat,51.3,5.766666667,72264
Achtereind,51.36666667,0.083333333,72271
Zuidermeer,52.66666667,4.983333333,72295
Doetinchem,51.96666667,6.3,72614
Sint Anthonis,51.61666667,0.083333333,72710
Gasselterboerveen,52.99861111,6.843055556,72806
Halfweg,52.38333333,4.75,73249
Noordeinde,52.51666667,5.883333333,74279
Hopel,50.88333333,6.033333333,74365
Quatre Bras,52.18333333,6.216666667,74455
Hensbroek,52.65,4.883333333,74999
Lekkerterp,53.03333333,5.9,75673
Vledderveen,52.98333333,0.1,76022
Praets,51.95,5.883333333,76103
Oud-Milligen,52.21666667,5.716666667,76717
Sint Annaparochie,53.28333333,5.666666667,76975
Eesveen,52.82361111,6.133333333,77218
Westeind,53.15,0.816666667,77387
Spannum,53.15,5.616666667,77544
Ermerveen,52.73611111,6.843055556,77644
Herfte,52.50833333,6.15,77913
Wulpenbek,51.31666667,3.816666667,77926
Zandpol,52.69444444,6.865277778,78821
Wanswerd,53.3,5.85,79050
Zoutkamp,53.33333333,0.3,79143
Steenenkamer,52.26666667,5.55,79199
De Mortel,51.53333333,0.083333333,79248
Loil,51.95,6.15,79781
IJpelaar,51.56666667,0.066666667,80112
Koninginnehaven,51.31666667,3.716666667,80335
Waatskamperheide,51.3,5.8,80420
Eiland,51.41666667,0.066666667,80468
Noordse Dorp,52.16944444,4.833333333,80535
Hongerige Wolf,53.2,0.133333333,81055
Geeuwenbrug,52.87083333,6.372222222,81115
Meedhuizen,53.28333333,0.9,81739
Odiliapeel,51.63333333,0.083333333,81853
Osterbos,51.5,6.133333333,81870
Klein-Zundert,51.46666667,0.066666667,82341
Hert,51.35,6.083333333,82755
Vianen,51.61666667,4,82938
Zeijerveen,53.01111111,6.519444444,83208
Makkinga,52.98333333,6.216666667,83272
Groote Hoeven,51.36666667,0.083333333,83608
De Aa,51.58333333,0.083333333,84313
Zandberg,51.33333333,6.016666667,84876
Bahr,51.98333333,6.05,84931
Rootvlaas,51.48333333,0.083333333,85011
Ulsda,53.15,0.133333333,85038
De Har,53.33333333,0.683333333,85223
Stokkelaarsbrug,52.26944444,4.916666667,85648
Niawier,53.36666667,6.05,85725
Koevering,51.56666667,0.066666667,86387
Blitterswijck,51.53333333,6.116666667,86641
Engwier,53.06666667,5.416666667,86667
Goingarijp,53.01666667,5.766666667,86793
Hupsel,52.08333333,6.616666667,86856
Herxen,52.42916667,6.133333333,87295
Mierlo,51.43333333,0.083333333,87436
Karstraat,51.53333333,0.083333333,87477
Lieseind,51.63333333,0.083333333,87552
Meppen,52.78194444,6.695833333,87787
Hoogcasteren,51.4,0.083333333,87886
Heesselt,51.81666667,5.35,87992
Brakel,51.5,0.066666667,88018
Hofgeest,52.45,4.666666667,88041
Oosterbeek,51.98333333,5.85,88640
Slichtenhorst,52.2,5.5,88681
Nijvelaar,51.66666667,0.083333333,88706
Pieterburen,53.4,0.45,89112
Sonnega,52.86666667,5.966666667,89270
Heelweg,51.96666667,6.466666667,89505
Dieteren,51.08333333,5.85,90161
Doeveren,51.71666667,0.083333333,90186
Wessel,52.15,5.633333333,90235
Oude Leede,51.9875,4.416666667,90584
Zoutelande,51.5,3.483333333,92171
Woeste Hoeve,52.1,5.95,92403
Tholen,51.53333333,4.216666667,92766
Empe,52.15,6.15,93131
De Pan,52.17222222,4.4,93310
Höchte,53.03333333,0.1,93775
Giessendam,51.82361111,4.8,93920
Hansweert,51.45,4,94036
Olden Eibergen,52.1,6.616666667,94614
Doornsteeg,52.23333333,5.466666667,94930
Broekhorn,52.66666667,4.816666667,94931
Veenendaal,52.02361111,5.55,95070
Markluiden,52.36666667,6.05,95668
Snijdersberg,50.93333333,5.766666667,95676
Veen,51.76666667,0.083333333,95742
Oud-Zevenaar,51.91666667,6.083333333,95810
Etsberg,51.13333333,6.1,95838
Wielsche Hoeven,51.61666667,0.083333333,96063
Crèvecoeur,51.73333333,0.083333333,96209
Hermalen,51.6,0.083333333,96462
Tweesluizen,51.88333333,5.366666667,96918
Boer,53.21666667,5.566666667,96981
Groene Woud,51.5,0.083333333,97251
Zeijen,53.04722222,6.545833333,97678
Urkhoven,51.43333333,0.083333333,97701
Klein Hitland,51.95833333,4.633333333,98010
Oud-Roosteren,51.08333333,5.833333333,98087
De Maten,52.85,0.05,98143
Erichem,51.9,5.35,98196
Doniaga,52.9,5.75,98277
De Engel,52.24166667,4.533333333,98813
Theetuin,51.48333333,0.083333333,99014
Ouwerkerk,51.63333333,3.983333333,99109
Den Broek,51.38333333,6.033333333,99519
Terzool,53.06666667,5.733333333,99661
Oudkarspel,52.7,4.8,100238
Den Hulst,52.59166667,6.283333333,100498
Huizen,52.3,5.233333333,100510
Oostum,53.26666667,0.483333333,100602
Oldendiever,52.85,6.316666667,101513
Vogelenzang,51.76666667,5.833333333,102075
Woudhuizen,52.21666667,6.05,102445
Zuideinde,52.13333333,4.75,102571
Thull [nl],50.93333333,5.9,103027
Vreeland,52.23055556,5.016666667,103626
Kootwijk,52.18333333,5.766666667,103786
Ruinen,52.7625,6.354166667,104261
De Hoelm,52.9,4.95,104286
Colchester,51.88921,0.90421,104390
Wateringskant,52.76666667,4.866666667,104410
Mookhoek,51.75277778,4.583333333,104643
Moerstraten,51.53333333,0.066666667,105214
Willemstad,52.96666667,6.35,105275
Vlaas,51.26666667,5.966666667,105664
Uffelte,52.79027778,6.280555556,106377
Eck en Wiel,51.96666667,5.45,106593
Baambrugge,52.24583333,4.983333333,106666
Schweiberg,50.78333333,5.9,107028
Weidum,53.15,5.75,107179
Archem,52.47638889,6.433333333,107183
Looneind,51.48333333,0.066666667,107325
Schellinkhout,52.63333333,5.116666667,107355
Klein Agelo,52.4,6.9,107560
Harlingen,53.18333333,5.416666667,107572
Oude-Molen,51.85972222,4.633333333,107877
Langedijk,52.7,4.816666667,107887
Drijber,52.79166667,6.538888889,108789
Wieken,51.86666667,6.35,108916
Lutterhartje,52.63472222,6.616666667,109046
Houthem,50.86666667,5.766666667,109297
Almen,52.15,6.3,109303
Looveer,51.93333333,5.966666667,109492
De Loofaert,51.68333333,0.083333333,109513
Broek ,52.98333333,5.766666667,109940
Hoogehaar,52.67916667,6.715277778,110130
Waatskamp,51.3,5.8,110403
Feerwerd,53.3,0.45,110462
Bornwird,53.33333333,5.966666667,110528
Oling,53.3,0.833333333,110553
Oostburgsche Brug,51.33333333,3.466666667,110771
Donkereind,52.19166667,4.916666667,111206
Vlodrop-Station,51.15,6.15,111216
Klein-Azewijn,51.9,6.3,111272
Oosterwolde,52.45,5.9,111396
Dieden,51.81666667,0.083333333,112021
Stakenborg,53.01666667,0.166666667,112121
Oosterend,53.08333333,4.883333333,112761
Verwolde,52.21666667,6.416666667,112896
De Vecht,52.26666667,6.033333333,112977
Atzeburen,53.01666667,5.5,113273
Piershil,51.79305556,4.3,113570
Muggenhol,51.43333333,0.083333333,114034
Hellouw,51.83333333,5.183333333,114255
Klein Baal,51.9,5.916666667,114439
Kleverskerke,51.51666667,3.666666667,114560
Hees,52.1625,5.266666667,114709
Zurich,53.11666667,5.4,115297
Kadoelen,52.41666667,4.9,115314
De Kiel,52.86388889,6.748611111,115627
Nieuwe Krim,52.66805556,6.651388889,115762
Mariënberg,52.50888889,6.566666667,115918
Roelage,52.88333333,0.083333333,116088
Ooster Oene,52.35,6.05,116217
Slingenberg,52.67777778,6.183333333,116248
Espelo,52.30833333,6.35,116262
Kruisdijk,51.38333333,3.55,116502
Padhuis,52.66111111,6.848611111,116509
Kibbelveen,52.82222222,6.808333333,116569
Westkapelle,51.53333333,3.433333333,116896
Nergena,51.6,0.083333333,117191
Slijkenburg,52.81666667,5.85,117836
Wogmeer,52.65,4.916666667,117875
Kollumerpomp,53.3,6.2,118203
Hennaard ,53.11666667,5.633333333,118270
Rode Dorp,52.9,6.15,118321
Borkeld,52.27638889,6.466666667,118484
Wormer,52.5,4.816666667,118500
Wanssum,51.53333333,6.083333333,119209
Winthagen,50.86666667,5.933333333,119352
Keinsmerbrug,52.81666667,4.783333333,120005
Zuiderwoude,52.43333333,5.033333333,120310
Op de Bies,50.91666667,5.833333333,120734
De Kapel,51.28333333,0.083333333,120958
Maaijkant,51.45,0.066666667,120958
Keizersdijk,51.75694444,4.533333333,121132
Dinteloord,51.63333333,0.066666667,121528
Eng,51.95,6.016666667,121751
Poppendamme,51.51666667,3.55,122107
Marle,52.41388889,6.116666667,122195
Sint Jacobiparochie,53.26666667,5.6,122747
Eckelrade,50.8,5.766666667,122760
Katlijk,52.95,6.05,122864
Broek,53.38333333,0.416666667,122958
Dortherhoek,52.23194444,6.266666667,123658
Nieuw-Lekkerland,51.88888889,4.666666667,123759
Naarderburen,53.15,5.85,124027
Ooltgensplaat,51.68333333,4.333333333,124091
Vatrop,52.93333333,5,124571
Bovensmilde,52.97638889,6.481944444,124599
Werfhorst,52.41666667,5.816666667,124607
Wieuwerd,53.11666667,5.683333333,124625
Hallerhoek,52.44861111,6.466666667,124743
Schoonouwen,51.96388889,4.783333333,125294
Bloemendaal,52.05,4.683333333,125637
Buitenhuizen,52.43333333,4.716666667,126171
Beringe,51.33333333,5.95,126222
Castricum aan Zee,52.55,4.6,126363
Bunnik,52.06666667,5.183333333,126780
Ens,52.63333333,5.833333333,126983
Terkaple,53.01666667,5.783333333,127414
Den Hoorn,53.03333333,4.75,127591
Westermeer,52.96666667,5.8,127897
Boddenbroek,51.51666667,6.05,128033
Meerwijk,51.81666667,5.916666667,128220
Camerig,50.76666667,5.933333333,128337
Niekerk,53.21666667,0.35,128440
Poolland,52.8,4.85,128451
Hamshorn,53.18333333,6.116666667,128585
Lioessens,53.38333333,6.083333333,128855
Teteringen,51.6,0.066666667,129341
Tereyken,51.51666667,0.083333333,129781
Snakkerburen,53.21666667,5.8,129814
De Groep,52.05138889,5.5,129816
Oudewegstervaart,53.01666667,5.966666667,129933
Creil,52.76666667,5.666666667,131364
Schaijk,51.73333333,0.083333333,131638
Andijk,52.75,5.216666667,132157
Nettelhorst,52.16666667,6.483333333,132336
Heide,51.21666667,5.933333333,132492
Kwadendamme,51.43333333,3.883333333,132752
Urk,52.66666667,5.6,133293
Ipswich,52.05917,1.15545,133384
Houtens,51.5,0.083333333,133765
Steenpaal,51.46666667,0.066666667,133896
Sparjebird,53.03333333,6.166666667,134079
Rasquert,53.36666667,0.516666667,134268
Buitenstverlaat,53.1,6.05,135122
De Nieuwe Hoeven,51.3,5.766666667,135251
Wijk bij Duurstede,51.975,5.333333333,135395
't Klooster,51.96666667,6.633333333,135429
Boerenhol,51.38333333,3.533333333,136795
Lemmer,52.85,5.716666667,136813
Vlijmen,51.68333333,0.083333333,137014
Loeswijk,51.43333333,0.083333333,137451
Middendorp,52.66388889,6.9,137674
Dommelen,51.35,0.083333333,138832
Megen,51.81666667,0.083333333,138865
Spekholzerheide,50.86666667,6.033333333,138936
Vloeieind,51.43333333,0.083333333,139075
Kruisdorp,51.36666667,4.033333333,139576
Stiem,53.36666667,6.15,139742
Elshout,51.7,0.083333333,140854
Kortland,51.86666667,4.683333333,141064
Uithoorn,52.23333333,4.833333333,141417
Vuurbaken,51.7875,4.383333333,141421
Klutsdorp,51.55,0.066666667,141532
't Noorden,52.74305556,6.558333333,141643
Holkerveen,52.2,5.45,141931
Kallenbroek,52.15,5.533333333,142217
Bokhoven,51.73333333,0.083333333,142928
Achterhoek,52.21666667,5.416666667,143691
Helmond,51.46666667,0.083333333,143925
Musschendorp,52.14722222,5.45,144017
Blekkink,51.91666667,6.666666667,144179
Otterdijk,51.4,0.083333333,144622
Boeket,51.28333333,5.733333333,144989
Stoutenburg,52.15277778,5.433333333,145121
Achterste Diesdonk,51.41666667,0.083333333,145148
Witdonk,51.31666667,5.883333333,145729
Ingen,51.96666667,5.483333333,145800
Erlecom,51.85,5.966666667,145815
Heeze,51.38333333,0.083333333,145827
Sijthuizen,53.03333333,5.85,145951
Heikant,51.73333333,5.916666667,145966
Kuiksche Heide,51.68333333,0.083333333,146127
Zeeland,51.68333333,0.083333333,146257
Bussereind,51.26666667,6.05,146386
Kallenkote,52.79861111,6.166666667,146533
Dreumel,51.85,5.433333333,146550
Schelm,51.35,0.083333333,146661
Gerkesklooster,53.23333333,6.2,146791
Raayen,51.93333333,5.833333333,147077
"Beuningen,",52.35833333,6.983333333,147381
Duistervoorde,52.23333333,6.1,147878
Abbegaasterketting,53.03333333,5.566666667,148031
Makkum,53.1,5.683333333,148367
Heide,51.35,5.966666667,148896
Noetsele,52.35416667,6.45,149184
Berkel,51.98333333,4.483333333,149242
Ochten,51.9,5.566666667,149561
Wierum,53.4,6.016666667,150094
Sloterdijk,52.38333333,4.85,150536
Niebert,53.15,0.316666667,150735
Meertenwei,51.93333333,5.516666667,150825
Hemert,53.1,5.516666667,151681
Sappemeer,53.15,0.783333333,151701
Oud-Beets,53.06666667,6.033333333,151723
Posterholt,51.13333333,6.033333333,152497
Plantage Centrum,51.45,0.066666667,152692
Ungebuurt,53.18333333,5.466666667,152795
Niedorperverlaat,52.71666667,4.85,152844
Heek,50.88333333,5.866666667,152849
Velddijk,51.83333333,5.533333333,153052
Oud-Dijk,51.93333333,6.133333333,153369
Witteveen,52.81388889,6.661111111,153605
Tolke,52.76666667,4.8,154026
Genderen,51.73333333,0.083333333,154165
Haarle,52.35972222,6.366666667,154598
Stevensbeek,51.6,0.083333333,154646
Zuidwolde,53.25,0.583333333,154815
Nieuwemolen,51.23333333,3.933333333,155995
Zeldam,52.25694444,6.616666667,155998
Stad van Gerwen,51.5,0.083333333,156183
Meerlebroek,51.26666667,6.083333333,156407
Oudedorp,51.46666667,3.666666667,156447
Amstenrade,50.93333333,5.933333333,156650
Burum,53.26666667,6.233333333,156873
Noord-Spierdijk,52.66666667,4.95,157147
Brouwershoek,52.1,6.466666667,157266
Vosselen,51.4,0.083333333,157280
Humcoven,50.9,5.766666667,157370
West-Terschelling,53.36666667,5.216666667,157981
Gapinge,51.55,3.633333333,158265
Vroelen,50.76666667,5.816666667,158348
Bethlehem,53.38333333,0.6,158442
Budel-Schoot,51.23333333,0.083333333,158574
Eppenhuizen,53.36666667,0.683333333,159002
Puth,50.95,5.866666667,159294
Steenwijkerwold,52.80416667,6.05,159410
Westhoek,53.28333333,5.566666667,159412
Peizerwold,53.15694444,6.493055556,159886
Noordbroek,53.18333333,0.866666667,159912
Lochtenburg,51.68333333,0.066666667,159922
Oud-Empel,51.73333333,0.083333333,159936
Aan de School,51.06666667,5.966666667,159967
Kapel,51.88333333,5.966666667,160103
Biddinghuizen,52.45,5.7,160390
Schoor,51.53333333,0.083333333,160416
Hoogeind,51.95,5.966666667,161043
Keutenberg,50.85,5.883333333,161837
Nieuwehorne,52.95,6.05,162152
Weberbuurt,52.31666667,4.666666667,162449
Kerkdorp,52.48333333,5.9,162610
Teersdijk,51.81666667,5.766666667,162778
Balkbrug,52.6,6.383333333,163022
Arkel,51.86388889,4.983333333,163403
Hollander,51.28333333,5.85,163782
De Bree,52.08055556,4.816666667,163864
Siegerswoude,53.15,5.966666667,164077
Klakbaan,51.36666667,3.6,164187
Nijlande,52.97361111,6.627777778,164618
Grubbenvorst,51.41666667,6.15,164629
Sint Maartensbrug,52.78333333,4.733333333,164825
Groot-Oever,52.65,6.333333333,165000
Weerselo,52.35138889,6.85,165157
De Punt,53.11666667,6.602777778,165188
Westeind,53.1,0.033333333,165438
Vuren,51.81666667,5.05,165590
Katham,52.48333333,5.066666667,165937
Westerblokker,52.66666667,5.1,166464
Draaibrug,51.3,3.433333333,166914
Burgh,51.68333333,3.733333333,167267
Sint Jansteen,51.26666667,4.05,167767
Geenweide,51.78333333,5.283333333,167993
Merlenberg,51.45,0.083333333,168082
Ees,52.90833333,6.805555556,168610
Moorst,52.1,5.483333333,168794
Boerakker,53.18333333,0.316666667,168948
Landhorst,51.61666667,0.083333333,169476
Oosthoek,51.8,4.333333333,169503
Kraan,51.26666667,5.75,169917
Dam,52.9,4.916666667,170466
Velswijk,52.01666667,6.3,170967
Pauluspolder,51.33333333,4.016666667,171008
Kollum,53.28333333,6.15,171292
"Geer, Vijfheerenlanden",51.90277778,5.033333333,171536
Polle,52.91666667,5.85,171594
Pietersburen,53.11666667,6.166666667,171764
Borne,52.3,6.75,171853
Goedereede,51.81805556,3.966666667,171997
Tweede Vlotbrug,51.85277778,4.183333333,172632
Diunt,51.5,0.066666667,172848
Tolkamer,51.85,6.1,172976
Uiteinde,53.13333333,5.983333333,173133
