src,dst,relationship,cost
Dalen,Ellertshaar,EROAD,95
Dalerpeel,Wetzens,EROAD,108
Dalerveen,Durgerdam,EROAD,28
Darp,Wittem,EROAD,53
De Bente,Gastelsveer,EROAD,199
De Groeve,Het Schouw,EROAD,75
De Haar,Ekehaar,EROAD,105
De Haar,Doodstil,EROAD,137
De Hilte,Wesepe,EROAD,247
De Kiel,Eenrum,EROAD,377
De Klosse,Oudeschans,EROAD,138
De Kolk,De Hoek,EROAD,112
De Mars,De Bult,EROAD,363
De Pol,Lutten-Oever,EROAD,246
De Punt,Westerlee,EROAD,246
De Schiphorst,Oude Bildtdijk,EROAD,72
De Stapel,Oudemolen,EROAD,223
De Stuw,Hanenberg,EROAD,399
Deurze,Heesakker,EROAD,363
De Wijk,Genoenhuis,EROAD,91
Diever,Arwerd,EROAD,127
Dieverbrug,Echten,EROAD,116
Dikbroeken,Seters,EROAD,364
Diphoorn,Groot-Bedaf,EROAD,260
Doldersum,Schoonloo,EROAD,89
Donderen,Noordbeemster,EROAD,319
Drijber,Steenenkruis,EROAD,134
Drogt,Geneneind,EROAD,199
Drogteropslagen,Eibergen,EROAD,74
Drouwen,Kanis,EROAD,247
Drouwenermond,Nijeveense Bovenboer,EROAD,134
Drouwenerveen,Siegerswoude,EROAD,362
Dwingeloo,Snikzwaag,EROAD,323
Echten,Brouwershaven,EROAD,63
Eelde,Est,EROAD,183
Eelderwolde,Boekend,EROAD,127
Eemster,Roodeschuur,EROAD,110
Eemten,Heurne,EROAD,377
Een,Kooten,EROAD,201
Een-West,Etenaken,EROAD,310
Eerste Exloërmond,Roelofarendsveen,EROAD,246
Ees,Hees,EROAD,202
Eesergroen,Deelen,EROAD,157
Eeserveen,Terkaple,EROAD,358
Eext,Klooster,EROAD,360
Eexterveen,Boerenhol,EROAD,218
Eexterveenschekanaal,Sint Isidorushoeve,EROAD,57
Eexterzandvoort,Arcen,EROAD,176
Ekehaar,Hemmen,EROAD,215
Eldersloo,Driel,EROAD,224
Eleveld,Kadoelen,EROAD,317
Elim,Stoof,EROAD,132
Ellertshaar,Nude,EROAD,135
Elp,Edens ,EROAD,188
Emmen,Haren,EROAD,87
Emmer-Compascuum,Hazelberg,EROAD,63
Emmer-Erfscheidenveen,Nieuwstad,EROAD,325
Emmerschans,Hoogersmilde,EROAD,194
Erica,Omval,EROAD,47
Erm,Zandwijk,EROAD,294
Ermerveen,Beetgum ,EROAD,124
Eursing,Breezand,EROAD,373
Eursinge,Spiesberg,EROAD,365
Eursinge,Brachterbeek,EROAD,145
Eursinge,Bruil,EROAD,239
Exloërkijl,Kraggenburg,EROAD,301
Exloërveen,Nisse,EROAD,255
Exloo,De Ginkel,EROAD,346
Fluitenberg,Amerika,EROAD,154
Fort,Nooitgedacht,EROAD,202
Foxwolde,Kwartier,EROAD,190
Frederiksoord,Spekholzerheide,EROAD,232
Garminge,Blauwe Sluis,EROAD,175
Gasselte,Zaltbommel,EROAD,268
Gasselterboerveen,Hertme,EROAD,25
Gasselterboerveenschemond,Valburg,EROAD,27
Gasselternijveen,De Bunt,EROAD,362
Gasselternijveenschemond Eerste Dwarsdiep,Sassenheim,EROAD,216
Gasselternijveenschemond Tweede Dwarsdiep,Lochuizen,EROAD,273
Gasteren,Bornerbroek,EROAD,120
Geelbroek,Breskens,EROAD,204
Gees,Vaarle,EROAD,112
Geesbrug,Haskerdijken,EROAD,309
Geeuwenbrug,Oensel,EROAD,21
Gieten,Dirkshorn,EROAD,254
Gieterveen,Uiteinde,EROAD,56
Gieterzandvoort,Doetinchem,EROAD,49
Gijsselte,De Hoef,EROAD,281
Graswijk,Millert,EROAD,387
Grevenberg,Sijbekarspel,EROAD,163
Grolloo,Klein Hitland,EROAD,380
Haakswold,Sleeburg,EROAD,184
Haalweide,Cranendonck,EROAD,264
Havelte,Rothenbach,EROAD,274
Havelterberg,Callantsoog,EROAD,95
Hees,Hank,EROAD,131
Het Moer,Korn,EROAD,40
Het Schier,Engelen,EROAD,95
Hijken,Kapolder,EROAD,107
Hijkersmilde,Langenholte,EROAD,265
Hoge Linthorst,Zoeterwoude-Dorp,EROAD,22
Hollandscheveld,Broekhuizen,EROAD,387
Holsloot,Evertsoord,EROAD,373
Holthe,Roswinkel,EROAD,84
Holtien,Haanrade,EROAD,45
Holtinge,Zwartenberg,EROAD,270
Holtland,Lammers,EROAD,237
Hoogehaar,Wilhelminapark,EROAD,258
Hoogersmilde,Raayen,EROAD,381
Hoogeveen,Zuideinde,EROAD,166
Hooghalen,Nieuwer-Ter-Aa,EROAD,37
Huis ter Heide,Koolwijk,EROAD,205
Kalenberg,Hoeven,EROAD,168
Kalteren,Zwartsluisje,EROAD,254
Kavelingen,Absdale,EROAD,255
Kerkenveld,Harmelen,EROAD,308
Kibbelveen,Vuilendam,EROAD,317
Klatering,IJpecolsga,EROAD,288
Klazienaveen,Morsche Hoef,EROAD,197
Klazienaveen-Noord,Nieuwenberg,EROAD,275
Klijndijk,Parrega,EROAD,126
Klooster,Leenderstrijp,EROAD,73
Kloosterveen,Harenkarspel,EROAD,277
Koekange,Heide,EROAD,78
Koekangerveld,Witteveen,EROAD,238
Koelveen,Benedenvaart,EROAD,61
Kolderveen,Kruishaar,EROAD,67
Kolderveense Bovenboer,Beers ,EROAD,261
Kostvlies,Oosteinde,EROAD,212
Kraloo,Leutes,EROAD,35
Kraloo,Het Vliet,EROAD,119
Laaghalen,Garderbroek,EROAD,121
Laaghalerveen,Herbaijum,EROAD,285
Langelo,Heezerenbosch,EROAD,375
Leeuwte,Breehees,EROAD,394
Leggeloo,Halfweg,EROAD,125
Leutingewolde,Zwingelspaan,EROAD,329
Lhee,Elp,EROAD,125
Lheebroek,Wamel,EROAD,64
Lieveren,Zuidloo,EROAD,368
Lieving,Buurtsdijk,EROAD,168
Linde,Quabeek,EROAD,267
Loon,Roderesch,EROAD,155
Lubbinge,Ommerenveld,EROAD,370
Lunssloten,Chaam,EROAD,318
Makkum,Oud-Drimmelen,EROAD,349
Mantinge,Westeind,EROAD,329
Marwijksoord,Witteveen,EROAD,390
Meppel,Delft,EROAD,377
Meppen,Weijpoort,EROAD,79
Middelveen,Werfhorst,EROAD,177
Middendorp,Driehuizen,EROAD,26
Middendorp,Roosteren,EROAD,144
Midlaren,Lambertschaag,EROAD,195
Molenstad,Greonterp,EROAD,206
Munsterscheveld,Oldenhave,EROAD,280
Nietap,Lunssloten,EROAD,216
Nieuw-Amsterdam,Kruispolderhaven,EROAD,237
Nieuw-Annerveen,Ankum,EROAD,125
Nieuw-Balinge,De Biezen,EROAD,239
Nieuw-Buinen,Dinteloord,EROAD,380
Nieuw-Dordrecht,Wercheren,EROAD,316
Nieuwediep,Bergsche Heide,EROAD,346
Nieuwe Krim,Houthei,EROAD,363
Nieuweroord,Hultje,EROAD,386
Nieuwlande,Gasteren,EROAD,398
Nieuw-Roden,Speuld,EROAD,317
Nieuw-Schoonebeek,Separatiedijk,EROAD,211
Nieuw-Weerdinge,Weite,EROAD,252
Nijensleek,Op den Hering,EROAD,397
Nijeveen,Heeten,EROAD,132
Nijeveense Bovenboer,Tull en 't Waal,EROAD,92
Nijlande,Schraard,EROAD,263
Nijstad,Lomm,EROAD,128
Nolde,Hofgeest,EROAD,389
Nooitgedacht,Laag-Caestert,EROAD,318
Noordbarge,Oude-Niedorp,EROAD,51
Noordscheschut,Voorhout,EROAD,92
Noord-Sleen,Greffelkamp,EROAD,352
Noordwijk,Gijsselte,EROAD,242
Norg,Heide,EROAD,157
Norgervaart,Klein Dorregeest,EROAD,117
Nuil,Rolpaal,EROAD,335
Odoorn,Kornhorn,EROAD,105
Odoornerveen,Den Broek,EROAD,177
Oldendiever,Drimmelen,EROAD,240
Oldenhave,Kruiningen,EROAD,383
Oosteinde,Zwinderen,EROAD,255
Oosterbroek,Stedum,EROAD,388
Oosterhesselen,Tripscompagnie,EROAD,228
Oosterse Bos,Zand,EROAD,260
Oranje,Berghem,EROAD,77
Oranjedorp,Elden,EROAD,214
Orvelte,Hoogzand ,EROAD,73
Oshaar,Kabel,EROAD,194
Oud-Annerveen,De Galhoek,EROAD,64
Oudemolen,Ulvend,EROAD,311
Oude Willem,Koningshoeven,EROAD,153
Oud Veeningen,Kie,EROAD,54
Paardelanden,Wezup,EROAD,274
Padhuis,De Klosse,EROAD,347
Papenvoort,Lennisheuvel,EROAD,136
Paterswolde,Anjum,EROAD,160
Peest,Baalhoek,EROAD,96
Peize,Wolfswinkel,EROAD,340
Peizermade,Stuivezand,EROAD,287
Peizerwold,De Wacht,EROAD,253
Pesse,Beegden,EROAD,24
Pieperij,Katwijk aan den Rijn,EROAD,99
Pikveld,Appingedam,EROAD,265
Rhee,De Hoef,EROAD,172
Rheebruggen,Winkelerhoek,EROAD,56
Rheeveld,IJzerlo,EROAD,281
Roden,Ravenstein,EROAD,204
Roderesch,Wierden,EROAD,354
Roderwolde,Lierderholthuis,EROAD,279
Rogat,Nederweerterdijk,EROAD,380
Rolde,Waanskinderen,EROAD,360
Roswinkel,Diessen,EROAD,358
Ruinen,Stevensbeek,EROAD,182
Ruinerweide,Snakkerburen,EROAD,88
Ruinerwold,Mariënheem,EROAD,150
Sandebuur,Maaijkant,EROAD,263
Schelfhorst,Baarle-Nassau-grens,EROAD,95
Schieven,'s-Heer Abtskerke,EROAD,355
Schimmelarij,Laren,EROAD,105
Schipborg,Heide,EROAD,172
Schoonebeek,Oudijk,EROAD,26
Schoonloo,Giesbeek,EROAD,351
Schoonoord,Woudbloem,EROAD,282
Schottershuizen,Meterik,EROAD,33
Schrapveen,Broeksterwoude,EROAD,259
Schreierswijk,Biggekerke,EROAD,31
Schutwijk,Otterdijk,EROAD,236
Siberië,Odoornerveen,EROAD,280
Sleen,Smakt,EROAD,270
Smalbroek,Abbestede,EROAD,53
Smilde,Oosterbuurt,EROAD,197
Spier,Molenbelt,EROAD,128
Spijkerboor,Molenend,EROAD,354
Stadterij,Oudega,EROAD,111
Steenbergen,Herten,EROAD,199
Steenbergen,Groot Wetsinge,EROAD,326
Steenwijksmoer,Oudehaske,EROAD,383
Stieltjeskanaal,De Munte,EROAD,21
Streek,Deelse Kampen,EROAD,199
Struikberg,Hedel,EROAD,225
Stuifzand,Saaxumhuizen,EROAD,163
Taarlo,Woudhuizen,EROAD,378
Ten Arlo,Riethoven,EROAD,325
Ter Aard,Brinkmanshoek,EROAD,348
Terheijl,Loons Hoekje,EROAD,247
Ter Horst,'t Zand,EROAD,198
't Haantje,Voort,EROAD,130
Tiendeveen,Losdorp,EROAD,366
't Noorden,Ellerhuizen,EROAD,268
Torenveen,Kibbelveen,EROAD,89
Tweede Exloërmond,Melick,EROAD,44
Tweede Valthermond,Ossenwaard,EROAD,52
Tynaarlo,Loënga,EROAD,273
Ubbena,Klein Amsterdam,EROAD,230
Uffelte,Eesergroen,EROAD,257
Valsteeg,De Berken,EROAD,378
Valthe,Oostwoud,EROAD,92
Valtherblokken,Roer,EROAD,276
Valthermond,Vinkenbuurt,EROAD,346
Valthermussel,Jipsingboertange,EROAD,276
Veenhof,De Haar,EROAD,248
Veenhuizen,Zuuk,EROAD,70
Veenhuizen,Verreheide,EROAD,311
Veeningen,Gewande,EROAD,331
Veenoord,Schillersheide,EROAD,360
Vledder,Oudega,EROAD,107
Vledderveen,Molenaarsgraaf,EROAD,65
Vlieghuis,Oling,EROAD,70
Vossebelt,Duifhuis,EROAD,76
Vredenheim,Electra,EROAD,43
Vries,De Aa,EROAD,85
Vuile Riete,De Goorn,EROAD,196
Wachtum,Noordwijk,EROAD,213
Wapse,Hitzum,EROAD,150
Wapserveen,Egelshoek,EROAD,244
Wateren,Vilsteren,EROAD,356
Weerdinge,Hoogvliet,EROAD,119
Weerwille,Rolde,EROAD,89
Weijerswold,Hoonte,EROAD,163
Weiteveen,Schans,EROAD,397
Wemmenhove,'s Heerenberg,EROAD,373
Westdorp,Kortrijk,EROAD,158
Westeinde,Zuidbroek,EROAD,85
Westenesch,Lemiers,EROAD,65
Westerbork,Veenhuizen,EROAD,343
Westerse Bos,Oostkapelle,EROAD,338
Westervelde,Waterop,EROAD,138
Wezup,Wijnbergen,EROAD,109
Wezuperbrug,Zoelen,EROAD,252
Wijster,Ritsumazijl,EROAD,201
Wilhelminaoord,Achterste Hermalen,EROAD,158
Wilhelmsoord,'t Winkel,EROAD,275
Winde,Zwijnsbergen,EROAD,347
Wittelte,Kivitsbraak,EROAD,284
Witten,Musschendorp,EROAD,65
Witteveen,Streek,EROAD,42
Witteveen,Nispen,EROAD,133
Yde,De Haal,EROAD,57
Zandpol,Den Velde,EROAD,358
Zeegse,Scherpenisse,EROAD,232
Zeijen,Blaricum,EROAD,210
Zeijerveen,Lagekant,EROAD,211
Zeijerveld,Delfzijl,EROAD,362
Zorgvlied,Peest,EROAD,234
Zuidbarge,Teteringen,EROAD,194
Zuideind,Kruisstraat,EROAD,368
Zuideropgaande,Gammelke,EROAD,341
Zuidlaarderveen,Zuid-Carolina,EROAD,314
Zuidlaren,Dinther,EROAD,254
Zuidveld,Ruinerwold,EROAD,382
Zuidvelde,Worsum,EROAD,389
Zuidwolde,Haarzuilens,EROAD,55
Zwartemeer,Laskwerd,EROAD,296
Zwartschaap,Oude Molen,EROAD,373
Zweeloo,Midsland,EROAD,46
Zwiggelte,De Meene,EROAD,387
Zwinderen,Achttienhoven,EROAD,131
Almere Buiten,Borgsweer,EROAD,149
Almere Haven,'t Veld,EROAD,109
Almere Hout,Haanwijk,EROAD,329
Almere Stad,Kattendijke,EROAD,306
Bant,Kameren,EROAD,187
Biddinghuizen,Den Ham,EROAD,74
Creil,IJsselham,EROAD,386
Dronten,Nieuwvliet-Bad,EROAD,385
Emmeloord,Voordrempt,EROAD,356
Ens,Vaart,EROAD,62
Espel,Zandheuvel,EROAD,267
Ketelhaven,Rhaan,EROAD,331
Kraggenburg,Surhuisterveen,EROAD,286
Lelystad,Benschop,EROAD,226
Lelystad Haven,Tuitjenhorn,EROAD,281
Luttelgeest,Opeinde,EROAD,117
Marknesse,Foxham,EROAD,283
Nagele,Vinkega,EROAD,346
Rutten,Zuideinde,EROAD,179
Schokland,Papenbeek,EROAD,249
Swifterbant,Groot Hitland,EROAD,326
Tollebeek,Emmen,EROAD,46
Urk,Gracht,EROAD,104
Zeewolde,Polle,EROAD,129
Aalzum,Den Osse,EROAD,169
Abbega,Borgerveld,EROAD,374
Abbegaasterketting,Riel,EROAD,178
Abbengawier,Battenoord,EROAD,132
Abbewier,Heelsum,EROAD,191
Achlum,De Waal,EROAD,163
Aegum ,Oude Pekela,EROAD,238
Aekinga,Doonheide,EROAD,46
Akkerwoude,Burgt,EROAD,40
Akkrum,Bovenkerk,EROAD,174
Akmarijp,Graafland,EROAD,234
Allardsoog,Nieuwenhuishoek,EROAD,23
Allingawier,Noorddorp,EROAD,57
Almenum,Platveld,EROAD,136
Anjum,Kakert,EROAD,337
Anjum,Holset,EROAD,53
Anneburen,Borssele,EROAD,251
Appelscha,Aan de Zuwe,EROAD,298
Arkens,Bantega,EROAD,377
Arkum,Bourtange,EROAD,101
Arum,Gorredijk,EROAD,344
Atzeburen,Ewer,EROAD,325
Augsbuurt-Lutjewoude,Almere Haven,EROAD,23
Augustinusga,Noorderhoogebrug,EROAD,74
Aalzum,Weteringbrug,EROAD,67
Baaiduinen,Klein Baal,EROAD,203
Baard,Loo,EROAD,318
Baardburen,Gebergte,EROAD,333
Baarderburen,Eerde,EROAD,380
Baburen,Arkel,EROAD,205
Baaium,Heereburen,EROAD,253
Bakhuizen,Otterlo,EROAD,62
Bakkeveen,Heide,EROAD,178
Balk,Pieriksmars,EROAD,303
Ballingbuur,Zoggel,EROAD,122
Ballum,Laaxum,EROAD,343
Bandsloot,Wittebrink,EROAD,252
Bantega,Zeddam,EROAD,92
Bargebek,Rinsumageest,EROAD,41
Bartlehiem,Hoogeind,EROAD,354
Beers ,Spui,EROAD,228
Beetgum ,Eekt,EROAD,183
Beetgumermolen ,Pelikaan,EROAD,244
Beetsterzwaag,Schinnen,EROAD,72
Benedenknijpe,Terwolde,EROAD,359
Bergum ,Lytshuzen,EROAD,110
Berlikum ,Cadier en Keer,EROAD,111
Bernsterburen,Miedum,EROAD,139
Betterwird,Foxwolde,EROAD,368
Birdaard ,Teijlingen,EROAD,132
Birstum,Laaghalerveen,EROAD,256
Bisschop,Borger,EROAD,120
Bittens,Toldijk,EROAD,365
Blauwhuis,Akersloot,EROAD,52
Blauwverlaat,De Hoeve,EROAD,57
Blesdijke,Veldhunten,EROAD,184
Blessum ,Overbroek,EROAD,197
Blije ,Laak,EROAD,229
Boekhorst,Schelluinen,EROAD,150
Boelenslaan,L'Air Pur,EROAD,136
Boer,De Klem,EROAD,56
Boijl (Boyl),Odijk,EROAD,173
Boksum ,Berghem,EROAD,241
Bollingawier,Leeuwstuk,EROAD,336
Bolsward,Baarschot,EROAD,221
Bonkwerd,Maalbroek,EROAD,332
Bontebok,Markelo,EROAD,25
Boornbergum,Nijenklooster,EROAD,253
"Boornzwaag, Lit",Sauwerd,EROAD,288
Boornzwaag,Den Hoek,EROAD,292
Boornzwaag,Deense Hoek,EROAD,173
Bornwird,Swalmen,EROAD,385
Bornwirdhuizen,Bollingawier,EROAD,295
Boteburen,Meerkerk,EROAD,378
Bovenburen,Burgemeester Beinsdorp,EROAD,126
Bovenknijpe,Wijk en Aalburg,EROAD,228
Boyl,Tonsel,EROAD,212
Bozum ,Roelage,EROAD,381
Brandeburen,Dijkerstraat,EROAD,256
Brantgum,Tiggeltscheberg,EROAD,261
Britsum,Melissant,EROAD,158
Britswerd ,Veenhuizen,EROAD,152
Broek ,Boskant,EROAD,27
Broek-Noord,Koudekerke,EROAD,116
Broeksterwoude,Hoogduurswoude,EROAD,253
Brongerga,Heerjansdam,EROAD,110
Buitenpost,Hollum,EROAD,236
Buitenstverlaat,Den Dungen,EROAD,234
Buren,De Emmer,EROAD,68
Burgwerd,Spanga,EROAD,32
Burum,Moleneind,EROAD,193
Buttinga,Vierhouten,EROAD,63
Buweklooster,Limmen,EROAD,212
Commissiepolle,Kessel,EROAD,234
Cornjum,Schagen,EROAD,367
Cornwerd,Noordhorn,EROAD,306
Damwâld ,Plein,EROAD,391
Dantumawoude,Heieind,EROAD,343
De Blesse,Geleen,EROAD,398
De Blijnse,Zevenhuizen,EROAD,239
De Blokken,Driehuizen,EROAD,349
De Bult,Blokker,EROAD,215
Deddingabuurt,Cartils,EROAD,346
Dedgum,Damwâld ,EROAD,302
Deersum ,Britswerd ,EROAD,368
De Falom ,Nieuwemolen,EROAD,125
Deinum ,Luddeweer,EROAD,251
De Gaasten,Kunrade,EROAD,149
De Galhoek,Stuifakker,EROAD,393
De Grits,Burgerveen,EROAD,45
De Hel,Wielder,EROAD,229
De Hem,Ruinen,EROAD,321
De Hem,Midbuul,EROAD,394
De Hoeve,Woord,EROAD,33
Deinum,Bikbergen,EROAD,82
De Keegen,Noordeinde,EROAD,333
De Knijpe (De Knipe) ,Budel-Dorplein,EROAD,203
De Knolle,Koedood,EROAD,142
De Kolk (Sneek),Broek,EROAD,210
Delburen,Zeldert,EROAD,315
Delfstrahuizen,De Woerd,EROAD,324
De Meente,Munnekemoer,EROAD,172
De Rijlst,Den Ham,EROAD,249
De Tike,Groot Medhuizen,EROAD,258
De Veenhoop,Avenhorn,EROAD,164
De Wilgen,Holle Poarte,EROAD,212
Dijken,Pannenschop,EROAD,378
Dijkshoek,Ewijk,EROAD,221
Dijkshorne,Ter Horst,EROAD,267
Dijksterburen,Monnickendam,EROAD,56
Doijum,Vragender,EROAD,244
Dokkum,Middelijk,EROAD,44
Dokkumer Nieuwe Zijlen,Stegerveld,EROAD,161
Domwier,Zuidbarge,EROAD,296
Dongjum,Rootvlaas,EROAD,36
Doniaburen,Dokkum,EROAD,326
Doniaga,Wolfhaag,EROAD,288
Donkerbroek,Everwenninkhoek,EROAD,196
Draaisterhuizen,Baarn,EROAD,335
Drachten,Zweekhorst,EROAD,92
Drachtstercompagnie,Oeken,EROAD,392
Drieboerehuizen,Duistervoorde,EROAD,31
Driesum ,Kerkbuurt,EROAD,23
Drogeham,Mook,EROAD,209
Dronrijp ,Tweede Valthermond,EROAD,341
Echten,Renesse,EROAD,198
Echtenerbrug,Oud-Zevenaar,EROAD,120
Edens ,Huissen,EROAD,290
Ee,Putten,EROAD,140
Eemswoude ,Haag,EROAD,297
Eernewoude,Butterhuizen,EROAD,212
Eesterga,Hengstdal,EROAD,37
Eestrum ,Katwoude,EROAD,61
Egbertsgaasten,Philippine,EROAD,130
Egypte,Hub,EROAD,179
Elahuizen,Boerdijk,EROAD,88
Elfbergen,Roggelsedijk,EROAD,398
Elsloo,Zelen,EROAD,204
Engelum ,Hantumhuizen,EROAD,285
Engwerd,Westerwijzend,EROAD,382
Engwier,Beetsterzwaag,EROAD,345
Engwierum,Silvolderbuurt,EROAD,271
Exmorra,Witte Dellen,EROAD,359
Exmorrazijl,Giekerkerhoek,EROAD,114
Ezumazijl,Naarderburen,EROAD,259
Fatum,Achterbroek,EROAD,248
Ferwerd ,Broekhuizen,EROAD,313
Ferwoude,Zandvoort,EROAD,350
Finkeburen,De Horst,EROAD,125
Finkum,Meer,EROAD,27
Firdgum,Margraten,EROAD,384
Flansum ,Boshoek,EROAD,205
Fochteloo,Fatum,EROAD,101
De Folgeren,Hellevoetsluis,EROAD,317
Follega,Veessen,EROAD,370
Folsgare,Oudewegstervaart,EROAD,340
Fons,'t Heeske,EROAD,82
Formerum,Overdinkel,EROAD,244
Foudgum,Slagharen,EROAD,204
Franeker,Exloo,EROAD,100
Friens,Maris,EROAD,120
Frieschepalen,Hellegat,EROAD,205
Gaast,Waterval,EROAD,257
Gaastmeer,Echt,EROAD,117
Galamadammen,Eiland,EROAD,26
Garijp ,Peins,EROAD,395
Gauw,Baarlo,EROAD,193
Genum ,Poppenhuizen,EROAD,150
Gerkesklooster,Bolberg,EROAD,157
Gersloot,Esveld,EROAD,318
Giekerk ,De Hei,EROAD,224
Giekerkerhoek,Ravensgat,EROAD,84
Gietersebrug,Haasdal,EROAD,212
Goënga,Zwartsluis,EROAD,72
Goëngahuizen,Velden,EROAD,213
Goingarijp,Drieschouwen,EROAD,265
Gooium,Zwarte Goor,EROAD,223
Gorredijk,Venlo,EROAD,107
Goutum,Hollevoeterbrug,EROAD,365
Gracht,Stuivezand,EROAD,235
Grauwe Kat,Dijkhuisjes,EROAD,350
Greonterp,Bommelskous,EROAD,175
Groot Medhuizen,Waal,EROAD,175
Groot Wieren,Poldert,EROAD,23
Grootwijngaarden,Hantumeruitburen,EROAD,238
Grote Wiske,Sandebuur,EROAD,178
Grouw ,Stokt,EROAD,144
Halfweg,Anneburen,EROAD,213
Hallum,Hout-Blerick,EROAD,132
Hallumerhoek,Staverden,EROAD,367
Hamshorn,Broekkant,EROAD,346
Haneburen,Kuiksche Heide,EROAD,310
Hantum,Steenvak,EROAD,122
Hantumerhoek,Haren,EROAD,231
Hantumeruitburen,Hijkersmilde,EROAD,238
Hantumhuizen,Donkersvoort,EROAD,335
Hardegarijp ,Elst,EROAD,180
Harich,Heijen,EROAD,285
Harkema-Opeinde,Oosterboorn,EROAD,255
Harkezijl,Alphen aan den Rijn,EROAD,295
Harlingen,Houterd,EROAD,256
Hartwerd,Vaarsche Hoef,EROAD,187
Haskerdijken,Stokkelen,EROAD,387
Haskerhorne,Wintraak,EROAD,80
Hatsum,Waverveen,EROAD,398
Haule,Vemde,EROAD,335
Haulerwijk,Dubbroek,EROAD,161
Hayum,Nieuw Weper,EROAD,30
Hee,Albergen,EROAD,48
Heeg,Roovert,EROAD,164
Heerenveen,Hekendorp,EROAD,142
Heide,De Bente,EROAD,218
Heidehuizen,Voordeldonk,EROAD,46
Hemelum,Vlijmen,EROAD,55
Hemert,Zaarvlaas,EROAD,84
Hemmemabuurt,Abcoude,EROAD,294
Hempens,Zwet,EROAD,310
Hemrik,Slijk-Ewijk,EROAD,146
Hemrikerverlaat,Groenlandsekade,EROAD,318
Hennaard ,Reuzenhoek,EROAD,199
Herbaijum,Velddriel,EROAD,134
Het Jachtveld,Ermerveen,EROAD,253
Het Vliet,Nieuwe Tuinen,EROAD,277
Het Zwartveen,De Lier,EROAD,309
Hiaure,Hernen,EROAD,133
Hichtum,Gever,EROAD,96
Hidaard,Gelderswoude,EROAD,55
Hieslum,Nijeholtpade,EROAD,215
Hijlaard ,Landsrade,EROAD,301
Hijum,Heemskerkerduin,EROAD,77
Hindeloopen,De Weerd,EROAD,240
Hitzum,Ooyerhoek,EROAD,87
Hoarne ,Peerenboom,EROAD,49
Hoek Makkinga,Wijnandsrade,EROAD,380
Hogebeintum ,Noordink,EROAD,228
Holle Poarte,Munnekens-Vinkel,EROAD,327
Hollum,Zuidlaren,EROAD,212
Holwerd,Stolwijkersluis,EROAD,190
Hommerts,Midlaren,EROAD,396
Hoogduurswoude,Frik,EROAD,364
Hoogzand ,Mosbulten,EROAD,124
Hooibergen,Kleine Huisjes,EROAD,141
